cavallo          ,horse,noun,
cellulare        ,mobile/phone,noun,
cena             ,dinner,noun,
chi              ,who,noun,
chiamata         ,call,noun,
chiave           ,key,noun,
chitarra         ,guitar,noun,
chiuso           ,closed,noun,
ciao             ,hello/hi,noun,
ciascuno         ,both/each,noun,
cibo             ,food,noun,
cinema           ,cinema,noun,
cinque           ,five,noun,
cioccolato       ,chocolate,noun,
città            ,city,noun,
classe           ,classroom,noun,
cognome          ,surname,noun,
colazione        ,breakfast,noun,
colore           ,color,noun,
coltello         ,knife,noun,
come             ,how/as/like,noun,
compiti          ,homework,noun,
compleanno       ,birthday,noun,
computer         ,computer,noun,
conversazione    ,conversation,noun,
corpo            ,body,noun,
corretto         ,correct,noun,
corso            ,course,noun,
corto            ,short,noun,
cosa             ,what/thing,noun,
cucina           ,kitchen,noun,
cuoco            ,cook,noun,
data             ,date,noun,
davanti          ,in front of,noun,
davvero          ,really,noun,
dente            ,tooth,noun,
dentro           ,inside,noun,
destra           ,right (direction),noun,
dicembre         ,December,noun,
diciannove       ,nineteen,noun,
diciassette      ,seventeen,noun,
diciotto         ,eighteen,noun,
dieci            ,ten,noun,
dietro           ,behind,noun,
difficile        ,difficult/hard,noun,
diverso          ,different,noun,
divertente       ,funny,noun,
divertimento     ,fun,noun,
dizionario       ,dictionary,noun,
doccia           ,shower,noun,
dodici           ,twelve,noun,
dolce            ,sweet,noun,
dollaro          ,dollar,noun,
domanda          ,question,noun,
domani           ,tomorrow,noun,
domenica         ,Sunday,noun,
donna            ,woman,noun,
dopo             ,after,noun,
dottore          ,doctor (male),noun,
dottoressa       ,doctor (female),noun,
dove             ,where,noun,
due              ,two,noun,
e-mail           ,e-mail,noun,
economico        ,cheap,noun,
entrambi         ,both,noun,
erba             ,grass,noun,
esame            ,exam,noun,
esempio          ,example,noun,
estate           ,summer,noun,
età              ,age,noun,
fabbrica         ,factory,noun,
faccia           ,face,noun,
facile           ,easy,noun,
fame             ,hunger,noun,
famiglia         ,family,noun,
famoso           ,famous,noun,
fantastico       ,great/fantastic,noun,
farmacia         ,pharmacy,noun,
fattoria         ,farm,noun,
febbraio         ,February,noun,
felice           ,happy,noun,
festa            ,party,noun,
figlia           ,daughter,noun,
figlio           ,son,noun,
film             ,movie,noun,
fine             ,end,noun,
finestra         ,window,noun,
fiore            ,flower,noun,
fiume            ,river,noun,
formaggio        ,cheese,noun,
foto/fotografia  ,photo,noun,
frase            ,sentence,noun,
fratello         ,brother,noun,
freddo           ,cold,noun,
frutta           ,fruit,noun,
fuori            ,outside,noun,
gamba            ,leg,noun,
gatto            ,cat,noun,
gelato           ,ice cream,noun,
genitori         ,parents,noun,
gennaio          ,January,noun,
gente            ,people,noun,
gentile          ,kind/gentle,noun,
giacca           ,jacket,noun,
giallo           ,yellow,noun,
giardino         ,garden,noun,
gioco            ,play/game,noun,
giornale         ,newspaper,noun,
giornata         ,day/daytime,noun,
giorno           ,day,noun,
giovane          ,young,noun,
giovedì          ,Thursday,noun,
giugno           ,June,noun,
giù              ,below/down,noun,
giusto           ,right/correct,noun,
gonna            ,skirt,noun,
grande           ,big/large,noun,
grasso           ,fat,noun,
grazie           ,thanks,noun,
grigio           ,grey,noun,
gruppo           ,group,noun,
hobby            ,hobby,noun,
hotel            ,hotel,noun,
ieri             ,yesterday,noun,
immagine         ,picture,noun,
importante       ,important,noun,
impossibile      ,impossible,noun,
indietro         ,back,noun,
indirizzo        ,address,noun,
insegnante       ,teacher,noun,
insieme          ,together,noun,
intelligente     ,intelligent,noun,
interessante     ,interesting,noun,
inverno          ,winter,noun,
italiano         ,Italian,noun,
jeans            ,jeans,noun,
là/lì            ,there,noun,
largo            ,wide,noun,
latte            ,milk,noun,
lavagna          ,blackboard,noun,
lavoro           ,job/work,noun,
lento            ,slow,noun,
lettera          ,letter,noun,
letto            ,bed,noun,
lettura          ,reading,noun,
lezione          ,lesson,noun,
libro            ,book,noun,
lingua           ,tongue/language,noun,
linguaggio       ,language,noun,
lontano          ,far,noun,
luce             ,light,noun,
luglio           ,July,noun,
lunedì           ,Monday,noun,
lungo            ,long,noun,
macchina         ,car,noun,
macchina fotografica  ,camera,noun,
madre            ,mother,noun,
maggio           ,May,noun,
maglietta        ,t-shirt,noun,
magro            ,thin,noun,
mai              ,never,noun,
maiale           ,pig,noun,
male             ,bad/badly,noun,
mamma            ,mom,noun,
mano             ,hand,noun,
mare             ,sea,noun,
marito           ,husband,noun,
marrone          ,brown,noun,
martedì          ,Tuesday,noun,
marzo            ,March,noun,
maschio          ,male,noun,
matita           ,pencil,noun,
mattina          ,morning,noun,
mattino          ,morning,noun,
medico           ,doctor,noun,
mela             ,apple,noun,
mercoledì        ,Wednesday,noun,
mese             ,month,noun,
messaggio        ,message,noun,
metà             ,half,noun,
mi dispiace      ,I’m sorry,noun,
migliore         ,best/better,noun,
minuto           ,minute,noun,
moglie           ,wife,noun,
molto            ,much,noun,
mondo            ,world,noun,
montagna         ,mountain,noun,
mucca            ,cow,noun,
muro             ,wall,noun,
museo            ,museum,noun,
musica           ,music,noun,
naso             ,nose,noun,
Natale           ,Christmas,noun,
nazionalità      ,nationality,noun,
nazione          ,nation/country,noun,
negozio          ,shop,noun,
neonato          ,baby,noun,
nero             ,black,noun,
nessuno          ,nobody,noun,
neve             ,snow,noun,
niente           ,nothing,noun,
noioso           ,boring,noun,
nome             ,name,noun,
notte            ,night,noun,
nove             ,nine,noun,
novembre         ,November,noun,
numero           ,number,noun,
nuovo            ,new,noun,
o/oppure         ,or,noun,
occhiali         ,reading glasses,noun,
occhio           ,eye,noun,
oggi             ,today,noun,
ogni             ,every/each,noun,
ora              ,hour,noun,
orecchio         ,ear,noun,
orologio         ,clock,noun,
ospedale         ,hospital,noun,
otto             ,eight,noun,
ottobre          ,October,noun,
padre            ,father,noun,
pagina           ,page,noun,
paio             ,pair,noun,
palla            ,ball,noun,
pane             ,bread,noun,
panino           ,sandwich,noun,
pantaloni        ,pants,noun,
papà             ,dad,noun,
parcheggio       ,parking lot,noun,
parco            ,park,noun,
parola           ,word,noun,
parte            ,part,noun,
Pasqua           ,Easter,noun,
pasta            ,pasta,noun,
patata           ,potato,noun,
pecora           ,sheep,noun,
penna            ,pen,noun,
per favore       ,please,noun,
perché           ,why/because,noun,
persona          ,person,noun,
pesce            ,fish,noun,
piano            ,floor (of a house),noun,
pianta           ,plant,noun,
piatto           ,dish,noun,
piatto           ,flat,noun,
piccolo          ,small/little,noun,
picnic           ,picnic,noun,
piede            ,foot,noun,
pioggia          ,rain,noun,
piscina          ,swimming pool,noun,
pizza            ,pizza,noun,
pizzeria         ,pizzeria,noun,
pomeriggio       ,afternoon,noun,
pomodoro         ,tomato,noun,
porta            ,door,noun,
possibile        ,possible,noun,
posto            ,place,noun,
povero           ,poor,noun,
pranzo           ,lunch,noun,
preferito        ,favorite,noun,
prego            ,you’re welcome,noun,
presto           ,soon,noun,
prima            ,before,noun,
primavera        ,spring,noun,
primo            ,first,noun,
problema         ,problem,noun,
programma        ,program,noun,
pronto           ,ready,noun,
prossimo         ,next,noun,
pulito           ,clean,noun,
qui              ,here,noun,
qualche          ,some,noun,
qualche volta    ,sometimes,noun,
qualcosa         ,something,noun,
qualcuno         ,someone,noun,
quale            ,which,noun,
quando           ,when,noun,
quanto           ,how much,noun,
quattordici      ,fourteen,noun,
quattro          ,four,noun,
quello           ,that,noun,
questo           ,this,noun,
quindici         ,fifteen,noun,
radio            ,radio,noun,
ragazza          ,girl,noun,
ragazzo          ,boy,noun,
regalo           ,gift/present,noun,
ricco            ,rich,noun,
risposta         ,answer,noun,
ristorante       ,restaurant,noun,
rosso            ,red,noun,
rumore           ,noise,noun,
sabato           ,Saturday,noun,
sale             ,salt,noun,
salotto          ,living room,noun,
sbagliato        ,wrong,noun,
scarpa           ,shoe,noun,
scatola          ,box,noun,
schiena          ,back,noun,
scrittura        ,writing,noun,
scrivania        ,desk,noun,
scuola           ,school,noun,
secondo          ,second (place),noun,
secondo          ,second (time),noun,
sedia            ,chair,noun,
sedici           ,sixteen,noun,
sei              ,six,noun,
semplice         ,simple,noun,
sempre           ,always,noun,
sera             ,evening,noun,
sete             ,thirst,noun,
sette            ,seven,noun,
settembre        ,September,noun,
settimana        ,week,noun,
sicuro           ,sure/safe,noun,
signora          ,Mrs,noun,
signore          ,Mr,noun,
sinistra         ,left (direction),noun,
soggetto         ,subject,noun,
soldi            ,money,noun,
sole             ,sun,noun,
solo             ,just/only,noun,
sopra            ,over/above,noun,
sorella          ,sister,noun,
sotto            ,below/under,noun,
spesa            ,grocery shopping,noun,
spesso           ,often,noun,
spiaggia         ,beach,noun,
sporco           ,dirty,noun,
sport            ,sport,noun,
stanco           ,tired,noun,
stanza           ,room,noun,
stasera          ,tonight,noun,
stazione         ,station,noun,
stesso           ,same,noun,
strada           ,road/street,noun,
studente         ,student (male),noun,
studentessa      ,student (female),noun,
succo            ,juice,noun,
supermercato     ,supermarket,noun,
tanto            ,much,noun,
tardi            ,late,noun,
tavolo           ,table,noun,
taxi             ,taxi,noun,
tazza            ,mug,noun,
tazzina          ,cup,noun,
tè               ,tea,noun,
telefono         ,phone,noun,
televisione      ,TV,noun,
tempo            ,time/weather,noun,
tennis           ,tennis,noun,
testa            ,head,noun,
testo            ,text,noun,
tiepido          ,warm,noun,
torta            ,cake,noun,
tre              ,three,noun,
tredici          ,thirteen,noun,
treno            ,train,noun,
triste           ,sad,noun,
troppo           ,too much,noun,
tutto            ,all/everything,noun,
uccello          ,bird,noun,
ufficio          ,office,noun,
ultimo           ,last,noun,
undici           ,eleven,noun,
università       ,university,noun,
uno              ,one,noun,
uomo             ,man,noun,
uovo             ,egg,noun,
vacanze          ,holidays,noun,
vaso             ,vase,noun,
vecchio          ,old,noun,
veloce           ,fast,noun,
venerdì          ,Friday,noun,
venti            ,twenty,noun,
vento            ,wind,noun,
verde            ,green,noun,
verdura          ,vegetables,noun,
vestiti          ,clothes,noun,
vetro            ,glass,noun,
via              ,street,noun,
viaggio          ,trip/travel/journey,noun,
vicino           ,near,noun,
vino             ,wine,noun,
visita           ,visit,noun,
vita             ,life,noun,
weekend          ,weekend,noun,
zaino            ,rucksack,noun,
zero             ,zero,noun,
zoo              ,zoo,noun,
zucchero         ,sugar,noun,
