infinitive,tense,person,new_example,new_example_english
potere,futuro_semplice,tu,"Tu potrai venire con noi in vacanza se risolverai i problemi di lavoro?","Will you be able to come on vacation with us if you solve work problems?"
potere,futuro_semplice,lui,"Lei potrà laurearsi con il massimo dei voti se continuerà a studiare","She will be able to graduate with highest marks if she continues studying"
potere,futuro_semplice,noi,"Potremo comprare casa quando entrambi avremo un lavoro stabile e sicuro","We will be able to buy house when we both have stable and secure job"
potere,futuro_semplice,voi,"Voi potrete visitare tutti i musei della città con questo biglietto speciale?","Will you be able to visit all city museums with this special ticket?"
potere,futuro_semplice,loro,"Potranno viaggiare per il mondo quando andranno in pensione insieme","They will be able to travel around world when they retire together"
potere,passato_prossimo,io,"Ho potuto incontrare il mio idolo musicale durante il concerto privato","I was able to meet my musical idol during private concert"
potere,passato_prossimo,tu,"Hai potuto parlare con il direttore della questione che ti preoccupava?","Were you able to talk with director about matter that worried you?"
potere,passato_prossimo,lui,"Ha potuto laurearsi nonostante tutte le difficoltà economiche della famiglia","He was able to graduate despite all family's economic difficulties"
potere,passato_prossimo,noi,"Abbiamo potuto salvare il cane che era rimasto intrappolato nel fiume","We were able to save dog that was trapped in river"
potere,passato_prossimo,voi,"Avete potuto risolvere il problema tecnico che bloccava il computer?","Were you able to solve technical problem that was blocking computer?"
potere,passato_prossimo,loro,"Hanno potuto realizzare il progetto grazie all'aiuto di tutti i volontari","They were able to realize project thanks to help of all volunteers"
pranzare,presente,io,"Pranzo sempre alla stessa ora per mantenere una routine alimentare regolare","I always have lunch at same time to maintain regular eating routine"
pranzare,presente,tu,"Tu pranzi mai fuori casa durante la settimana lavorativa o porti sempre panino?","Do you ever have lunch out during work week or always bring sandwich?"
pranzare,presente,lui,"Lei pranza elegantemente nei migliori ristoranti della città con clienti importanti","She lunches elegantly in city's best restaurants with important clients"
pranzare,presente,noi,"Pranziamo insieme ogni domenica per mantenere vive le tradizioni di famiglia","We have lunch together every Sunday to keep family traditions alive"
pranzare,presente,voi,"Voi pranzate spesso con i colleghi di ufficio o preferite mangiare da soli?","Do you often have lunch with office colleagues or prefer eating alone?"
pranzare,presente,loro,"Pranzano sempre con la famiglia allargata durante le festività religiose importanti","They always have lunch with extended family during important religious holidays"
pranzare,futuro_semplice,io,"Pranzerò al ristorante stellato per festeggiare la promozione lavorativa ottenuta","I will have lunch at starred restaurant to celebrate work promotion obtained"
pranzare,futuro_semplice,tu,"Tu pranzerai finalmente a casa dei tuoi suoceri dopo mesi di inviti?","Will you finally have lunch at your in-laws' house after months of invitations?"
pranzare,futuro_semplice,lui,"Lei pranzerà con il sindaco per discutere del progetto di riqualificazione urbana","She will have lunch with mayor to discuss urban redevelopment project"
pranzare,futuro_semplice,noi,"Pranzeremo tutti insieme nel giardino durante la festa di fine anno","We will all have lunch together in garden during end-of-year party"
pranzare,futuro_semplice,voi,"Voi pranzerete al nuovo ristorante giapponese che ha aperto vicino casa?","Will you have lunch at new Japanese restaurant that opened near home?"
pranzare,futuro_semplice,loro,"Pranzeranno sul terrazzo dell'albergo ammirando il panorama mozzafiato","They will have lunch on hotel terrace admiring breathtaking panorama"
pranzare,passato_prossimo,io,"Ho pranzato magnificamente ieri in quel ristorante che mi avevi consigliato","I had magnificent lunch yesterday at that restaurant you recommended"
pranzare,passato_prossimo,tu,"Hai pranzato abbastanza o vuoi ancora un po' di dolce fatto dalla nonna?","Did you have enough lunch or do you want more homemade dessert from grandmother?"
pranzare,passato_prossimo,lui,"Ha pranzato da solo mentre leggeva il giornale nella tranquillità del giardino","He had lunch alone while reading newspaper in garden tranquility"
pranzare,passato_prossimo,noi,"Abbiamo pranzato sulla terrazza ammirando il tramonto spettacolare sul mare","We had lunch on terrace admiring spectacular sunset over sea"
pranzare,passato_prossimo,voi,"Avete pranzato bene durante la vacanza in Francia o il cibo non vi piaceva?","Did you have good lunches during vacation in France or didn't you like food?"
pranzare,passato_prossimo,loro,"Hanno pranzato insieme per discutere i dettagli importanti del contratto commerciale","They had lunch together to discuss important details of business contract"
prendere,presente,io,"Prendo sempre l'autobus delle otto per arrivare puntuale al lavoro ogni mattina","I always take eight o'clock bus to arrive punctually at work every morning"
prendere,presente,tu,"Tu prendi mai decisioni impulsive o rifletti sempre attentamente prima di agire?","Do you ever make impulsive decisions or always think carefully before acting?"
prendere,presente,lui,"Lei prende lezioni di pianoforte da un maestro famoso per migliorare tecnica","She takes piano lessons from famous teacher to improve technique"
prendere,presente,noi,"Prendiamo sempre tempo per noi stessi durante i weekend per rilassarci completamente","We always take time for ourselves during weekends to relax completely"
prendere,presente,voi,"Voi prendete spesso iniziative personali o aspettate sempre che altri decidano?","Do you often take personal initiatives or always wait for others to decide?"
prendere,presente,loro,"Prendono sempre la strada più lunga per evitare il traffico intenso del centro","They always take longest route to avoid heavy downtown traffic"
prendere,futuro_semplice,io,"Prenderò una decisione importante che cambierà completamente la mia vita futura","I will make important decision that will completely change my future life"
prendere,futuro_semplice,tu,"Tu prenderai finalmente quella vacanza che ti meriti dopo anni di lavoro?","Will you finally take that vacation you deserve after years of work?"
prendere,futuro_semplice,lui,"Lei prenderà la laurea con il massimo dei voti se continuerà così","She will get degree with highest marks if she continues like this"
prendere,futuro_semplice,noi,"Prenderemo un appartamento più grande quando nascerà il secondo figlio","We will take bigger apartment when second child is born"
prendere,futuro_semplice,voi,"Voi prenderete il treno ad alta velocità per arrivare prima alla destinazione?","Will you take high-speed train to arrive earlier at destination?"
prendere,futuro_semplice,loro,"Prenderanno misure drastiche se la situazione economica non migliorerà presto","They will take drastic measures if economic situation doesn't improve soon"
prendere,passato_prossimo,io,"Ho preso la decisione giusta quando ho cambiato lavoro due anni fa","I made right decision when I changed jobs two years ago"
prendere,passato_prossimo,tu,"Hai preso tutti i medicinali che il dottore ti aveva prescritto?","Did you take all medicines doctor had prescribed for you?"
prendere,passato_prossimo,lui,"Ha preso coraggio e ha confessato i suoi sentimenti alla ragazza","He took courage and confessed his feelings to girl"
prendere,passato_prossimo,noi,"Abbiamo preso l'ultimo treno disponibile per arrivare in tempo alla cerimonia","We took last available train to arrive on time for ceremony"
prendere,passato_prossimo,voi,"Avete preso abbastanza foto durante la vacanza per ricordare bei momenti?","Did you take enough photos during vacation to remember beautiful moments?"
prendere,passato_prossimo,loro,"Hanno preso una strada sbagliata e si sono persi nella campagna","They took wrong road and got lost in countryside"
