dicembre,December,noun,masculine,di't∫ɛmbre
diciannove,nineteen,adjective,N/A,dit∫a'nːɔve
diciassette,seventeen,adjective,N/A,dit∫a'sːɛtːe
diciotto,eighteen,adjective,N/A,di't∫ɔtːo
dieci,ten,adjective,N/A,'djɛt∫i
dietro,behind,adverb,N/A,'djɛtro
difficile,difficult/hard,adjective,N/A,di'fːitʃile
diverso,different,adjective,N/A,di'vɛrso
divertente,funny,adjective,N/A,diver'tɛnte
divertimento,fun,noun,masculine,diverti'mento
dizionario,dictionary,noun,masculine,ditsjo'narjo
doccia,shower,noun,feminine,'dɔtːʃa
dodici,twelve,adjective,N/A,'doditʃi
dolce,sweet,adjective,N/A,'doltʃe
dollaro,dollar,noun,N/A,Not Found
domanda,question,noun,feminine,do'manda
domani,tomorrow,adverb,N/A,do'mani
domenica,Sunday,noun,feminine,do'menika
donna,woman,noun,feminine,'dɔnːa
dopo,after,adverb,N/A,'dopo
dottore,doctor (male),noun,masculine,do'tːore
dottoressa,doctor (female),,N/A,Not Found
dove,where,adverb,N/A,'dove
due,two,adjective,N/A,'due
e-mail,e-mail,noun,invariable,i'mɛil
economico,cheap,adjective,N/A,eko'nɔmiko
entrambi,both,pronoun,N/A,en'trambi
erba,grass,noun,feminine,'ɛrba
esame,exam,noun,masculine,e'zame
esempio,example,noun,masculine,e'zɛmpjo, e'zempjo
estate,summer,noun,feminine,es'tate
età,age,noun,feminine,e'ta
fabbrica,factory,noun,feminine,'fabːrika
faccia,face,noun,feminine,'fatːʃa
facile,easy,adjective,N/A,'fat∫ile
fame,hunger,noun,feminine,'fame
famiglia,family,noun,feminine,fa'miʎa
famoso,famous,adjective,N/A,fa'moso
fantastico,great/fantastic,adjective,N/A,fantas'tiko
farmacia,pharmacy,noun,feminine,farma'tʃia
fattoria,farm,noun,feminine,fatːo'ria
febbraio,February,noun,masculine,fe'bːrajo
felice,happy,adjective,N/A,fe'litʃe
festa,party,noun,feminine,'fɛsta
figlia,daughter,noun,feminine,'fiʎa
figlio,son,noun,masculine,'fiʎo
film,movie,noun,invariable,film
fine,end,noun,feminine,'fine
finestra,window,noun,feminine,fi'nɛstra
fiore,flower,noun,masculine,'fjore
fiume,river,noun,masculine,'fjume
formaggio,cheese,noun,masculine,for'madːʒo
foto/fotografia,photo,adjective,N/A,ˈmɪs.ɪŋ
frase,sentence,noun,feminine,'fraze
fratello,brother,noun,masculine,fra'tɛlːo
freddo,cold,adjective,N/A,'fredːo
frutta,fruit,noun,feminine,'frutːa
fuori,outside,adverb,N/A,'fwɔri
gamba,leg,noun,feminine,'ɡamba
gatto,cat,noun,masculine,'ɡatːo
gelato,ice cream,adjective,N/A,dʒe'lato
genitori,parents,,N/A,Not Found
gennaio,January,noun,masculine,dʒe'nːajo
gente,people,noun,feminine,'dʒɛnte
gentile,kind/gentle,adjective,N/A,dʒen'tile
giacca,jacket,noun,feminine,'dʒakːa
giallo,yellow,adjective,N/A,'dʒalːo
giardino,garden,noun,masculine,dʒar'dino
gioco,play/game,noun,masculine,'dʒɔko
giornale,newspaper,noun,masculine,dʒor'nale
giornata,day/daytime,noun,feminine,dʒor'nata
giorno,day,noun,masculine,'dʒorno
giovane,young,adjective,N/A,'dʒovane
giovedì,Thursday,noun,masculine,dʒove'di
giugno,June,noun,masculine,'dʒuɲo
giù,below/down,adverb,N/A,dʒu
giusto,right/correct,adjective,N/A,'dʒusto
gonna,skirt,noun,feminine,'ɡonːa
grande,big/large,adjective,N/A,'ɡrande
grasso,fat,adjective,N/A,'ɡrasːo
grazie,thanks,interjection,N/A,'ɡratsje
grigio,grey,adjective,N/A,'ɡridʒo
gruppo,group,noun,masculine,'ɡrupːo
hobby,hobby,noun,invariable,'ɔbːi
hotel,hotel,noun,invariable,o'tɛl
ieri,yesterday,adverb,N/A,'jɛri
immagine,picture,noun,feminine,i'mːadʒine
importante,important,adjective,N/A,impor'tante
impossibile,impossible,adjective,N/A,impo'sːibile
indietro,back,adverb,N/A,in'djɛtro
indirizzo,address,noun,masculine,indi'ritːso
insegnante,teacher,adjective,N/A,inse'ɲante
insieme,together,adverb,N/A,in'sjɛme
intelligente,intelligent,adjective,N/A,intelːi'dʒɛnte
interessante,interesting,adjective,N/A,intere'sːante
inverno,winter,noun,masculine,in'vɛrno
italiano,Italian,adjective,N/A,ita'ljano
jeans,jeans,noun,invariable,dʒins
là/lì,there,adjective,N/A,ˈmɪs.ɪŋ
largo,wide,adjective,N/A,'larɡo
latte,milk,noun,masculine,'latːe
lavagna,blackboard,noun,feminine,la'vaɲa
lavoro,job/work,noun,masculine,la'voro
lento,slow,adjective,N/A,'lɛnto
lettera,letter,noun,feminine,'letːera, 'lɛtːera
letto,bed,noun,masculine,'lɛtːo
lettura,reading,noun,feminine,le'tːura
lezione,lesson,noun,feminine,le'tsjone
libro,book,noun,masculine,'libro
lingua,tongue/language,noun,feminine,'linɡwa
linguaggio,language,noun,masculine,lin'ɡwadːʒo
lontano,far,adjective,N/A,lon'tano
luce,light,noun,feminine,'lutʃe
luglio,July,noun,masculine,'luʎo
lunedì,Monday,noun,masculine,lune'di
lungo,long,adjective,N/A,'lunɡo
macchina,car,noun,feminine,'makːina
macchina fotografica,camera,,N/A,Not Found
madre,mother,noun,feminine,'madre
maggio,May,noun,masculine,'madːʒo
maglietta,t-shirt,noun,feminine,ma'ʎetːa
magro,thin,adjective,N/A,'maɡro
mai,never,adverb,N/A,maj
maiale,pig,noun,masculine,ma'jale
male,bad/badly,adverb,N/A,'male
mamma,mom,noun,feminine,'mamːa
mano,hand,noun,feminine,'mano
mare,sea,noun,masculine,'mare
marito,husband,noun,masculine,ma'rito
marrone,brown,adjective,N/A,ma'rːone
martedì,Tuesday,noun,masculine,marte'di
marzo,March,noun,masculine,'martso
maschio,male,adjective,N/A,'maskjo
matita,pencil,noun,feminine,ma'tita
mattina,morning,noun,feminine,ma'tːina
mattino,morning,noun,masculine,ma'tːino
medico,doctor,adjective,N/A,'mɛdiko
mela,apple,noun,feminine,'mela
mercoledì,Wednesday,noun,masculine,merkole'di
mese,month,noun,masculine,'mese
messaggio,message,noun,masculine,me'sːadːʒo
metà,half,noun,feminine,'mɛta
mi dispiace,I’m sorry,,N/A,Not Found
migliore,best/better,adjective,N/A,mi'ʎore
minuto,minute,adjective,N/A,mi'nuto
moglie,wife,noun,feminine,'moʎe
molto,much,adverb,N/A,'molto
mondo,world,noun,masculine,'mondo
montagna,mountain,noun,feminine,mon'taɲa
mucca,cow,noun,feminine,'mukːa
muro,wall,noun,masculine,'muro
museo,museum,noun,masculine,mu'zɛo
musica,music,noun,feminine,'muzika
naso,nose,noun,masculine,'naso
Natale,Christmas,adjective,N/A,na'tale
nazionalità,nationality,noun,feminine,natsjonali'ta
nazione,nation/country,noun,feminine,na'tsjone
negozio,shop,noun,masculine,ne'ɡɔtsjo
neonato,baby,adjective,N/A,neo'nato
nero,black,noun,masculine,Not Found
nessuno,nobody,adjective,N/A,ne'sːuno
neve,snow,noun,feminine,'neve
niente,nothing,pronoun,N/A,'njɛnte
noioso,boring,adjective,N/A,no'joso
nome,name,noun,masculine,'nome
notte,night,noun,feminine,'nɔtːe
nove,nine,adjective,N/A,'nɔve
novembre,November,noun,masculine,no'vɛmbre
numero,number,noun,masculine,'numero
nuovo,new,adjective,N/A,'nwɔvo
o/oppure,or,adjective,N/A,ˈmɪs.ɪŋ
occhiali,reading glasses,noun,masculine,o'kːjali
occhio,eye,noun,masculine,'ɔkːjo
oggi,today,adverb,N/A,'ɔdːʒi
ogni,every/each,adjective,N/A,'ɔɲi
ora,hour,noun,feminine,'ora
orecchio,ear,noun,masculine,o'rekːjo
orologio,clock,noun,masculine,oro'lɔdʒo
ospedale,hospital,noun,masculine,ospe'dale
otto,eight,adjective,N/A,'ɔtːo
ottobre,October,noun,masculine,o'tːobre
padre,father,noun,masculine,'padre
pagina,page,noun,feminine,'padʒina
