infinitive,infinitive_ipa,context,synonyms,reflexive_type,grammar_fixes,example_improvements,participio_example
chiudere,/ˈkjudere/,"To close doors, windows, or end something","serrare,sigillare",regular,"",contextual,"Il negozio chiuso riaprirà domani."
cominciare,/komin'tʃare/,"To begin or start something; initiation of action","iniziare,avviare",regular,"begined→began",contextual,"Il lavoro cominciato procede bene."
comprare,/kom'prare/,"To purchase items with money; commercial transaction","acquistare,acquistare",regular,"buyed→bought",contextual,"Il regalo comprato è stato molto apprezzato."
conoscere,/ko'noʃʃere/,"To know people, places, or be familiar with; vs sapere (facts)","sapere (persone/luoghi)",regular,"",contextual,"La persona conosciuta è molto simpatica."
controllare,/kontrol'lare/,"To check, verify, or supervise something","verificare,ispezionare",regular,"",contextual,"I documenti controllati erano in ordine."
correre,/'korrere/,"To run fast; rapid movement on foot","scappare,fuggire",regular,"",contextual,"La gara corsa è stata molto emozionante."
costare,/kos'tare/,"To cost a certain price; uses essere auxiliary","valere",regular,"",contextual,"Il prezzo costato era ragionevole."
creare,/kre'are/,"To create or make something new from nothing","inventare,produrre",regular,"",contextual,"L'opera creata è un capolavoro."
credere,/'kredere/,"To believe in something or someone; faith or opinion","ritenere,pensare",regular,"",contextual,"La storia creduta si è rivelata falsa."
cucinare,/kutʃi'nare/,"To cook food in the kitchen; food preparation","preparare (cibo),fare da mangiare",regular,"",contextual,"Il piatto cucinato era squisito."
danzare,/dan'tsare/,"To dance artistically; more formal than ballare","ballare",regular,"",contextual,"Il balletto danzato era magnifico."
dare,/'dare/,"To give something to someone; transfer possession","donare,consegnare",regular,"",contextual,"Il regalo dato è stato molto gradito."
dimenticare,/dimenti'kare/,"To forget something or someone; loss of memory","scordare,non ricordare",regular,"forgeted→forgot",contextual,"L'appuntamento dimenticato era importante."
dire,/'dire/,"To say or tell something; verbal communication","raccontare,esprimere",regular,"",contextual,"La verità detta ha sorpreso tutti."
disegnare,/diseɲ'ɲare/,"To draw pictures or create visual art","tracciare,raffigurare",regular,"",contextual,"Il ritratto disegnato è molto realistico."
divertirsi,/diver'tirsi/,"Reflexive: to have fun or enjoy oneself","spassarsela,godersi",reflexive,"",reflexive_contextual,"I bambini si sono divertiti molto alla festa."
entrare,/en'trare/,"To enter or go inside; motion verb with essere auxiliary","penetrare,accedere",regular,"",contextual,"È entrato nella stanza silenziosamente."
fare,/'fare/,"Extremely versatile - means both 'to do' and 'to make'","creare,realizzare,eseguire",regular,"",contextual,"Il lavoro fatto è eccellente."
fermare,/fer'mare/,"To stop something in motion; halt movement","arrestare,bloccare",regular,"",contextual,"L'auto fermata era parcheggiata male."
finire,/fi'nire/,"To finish or complete something; -isc verb expansion","completare,terminare",regular,"",contextual,"Il progetto finito è stato consegnato in tempo."
fumare,/fu'mare/,"To smoke cigarettes or other substances","accendere (sigarette)",regular,"",contextual,"Le sigarette fumate danneggiano la salute."
giocare,/dʒo'kare/,"To play games, sports, or engage in recreational activities","divertirsi,spassarsi",regular,"",contextual,"La partita giocata è stata emozionante."
guardare,/gwar'dare/,"To look at or watch something actively and intentionally","osservare,vedere",regular,"watch/look ated→watched,looked",contextual,"Il film guardato ieri sera era interessante."
guidare,/gwi'dare/,"To drive vehicles or lead/guide someone","condurre,pilotare",regular,"",contextual,"L'auto guidata era molto veloce."
imparare,/impa'rare/,"To learn new skills, knowledge, or information","apprendere,studiare",regular,"",contextual,"La lezione imparata è stata utile."
incontrare,/inkon'trare/,"To meet someone by arrangement or chance","vedere,imbattersi",regular,"meeted→met",contextual,"La persona incontrata era molto gentile."
indossare,/indos'sare/,"To wear or put on clothing and accessories","mettere,vestire",regular,"",contextual,"Il vestito indossato era molto elegante."
iniziare,/initsi'are/,"To begin or start something new; commence","cominciare,avviare",regular,"",contextual,"Il corso iniziato è molto interessante."
insegnare,/inseɲ'ɲare/,"To teach knowledge or skills to students","istruire,educare",regular,"teached→taught",contextual,"La materia insegnata è fondamentale."
inviare,/invi'are/,"To send messages, packages, or electronic communications","mandare,spedire",regular,"sended→sent",contextual,"Il messaggio inviato è arrivato subito."
invitare,/invi'tare/,"To invite someone to events, parties, or gatherings","chiamare",regular,"",contextual,"Gli ospiti invitati erano molto eleganti."
lasciare,/laʃ'ʃare/,"To leave something behind or allow/let someone do something","abbandonare,permettere",regular,"",contextual,"La borsa lasciata è stata ritrovata."
lavare,/la'vare/,"To wash objects, clothes, or clean with water","pulire,detergere",regular,"",contextual,"I piatti lavati sono nel mobile."
lavorare,/lavo'rare/,"To work at a job or perform labor for income","operare,faticare",regular,"",contextual,"Le ore lavorated sono state produttive."
leggere,/'leggere/,"To read books, newspapers, or written text","studiare,scorrere",regular,"",contextual,"Il libro letto era molto avvincente."
mandare,/man'dare/,"To send people or objects to destinations","inviare,spedire",regular,"sended→sent",contextual,"Il pacco mandato è arrivato ieri."
mangiare,/man'dʒare/,"To eat food; consumption of meals or snacks","consumare,nutrirsi",regular,"eated→ate",contextual,"Il pranzo mangiato era delizioso."
mettere,/'mettere/,"To put or place objects in specific locations","posare,collocare",regular,"puted→put",contextual,"L'oggetto messo è al posto giusto."
morire,/mo'rire/,"To die; end of life; uses essere auxiliary","perire,decedere",regular,"",contextual,"L'albero morto sarà rimosso."
mostrare,/mos'trare/,"To show or display something to others","far vedere,esibire",regular,"showed→shown (in participio)",contextual,"Il quadro mostrato è molto bello."
nuotare,/nwo'tare/,"To swim in water; aquatic movement and exercise","fare il bagno",regular,"",contextual,"La piscina nuotata era molto pulita."
ottenere,/otte'nere/,"To obtain or get something through effort","ricevere,conseguire",regular,"",contextual,"Il risultato ottenuto è soddisfacente."
pagare,/pa'gare/,"To pay money for goods, services, or debts","versare,saldare",regular,"",contextual,"Il conto pagato includeva tutto."
parcheggiare,/parked'dʒare/,"To park vehicles in designated spaces","posteggiare,sistemare",regular,"",contextual,"L'auto parcheggiata è in divieto."
parlare,/par'lare/,"General speaking; both casual conversation and formal speech","conversare,chiacchierare,comunicare",regular,"speak/talked→spoke",contextual,"La lingua parlata in quella regione è particolare."
partire,/par'tire/,"To leave/depart for destinations; motion verb with essere","andare via,allontanarsi",regular,"",contextual,"È partito stamattina per Milano."
pensare,/pen'sare/,"To think, reflect, or consider ideas and possibilities","riflettere,meditare",regular,"thinked→thought",contextual,"L'idea pensata è molto originale."
piacere,/pja'tʃere/,"To like/please; typically used as 'mi piace' (it pleases me)","gradire",regular,"",contextual,"Il regalo piaciuto molto è stato quello di Marco."
piovere,/ˈpjovere/,"Impersonal verb meaning 'to rain'; only 3rd person singular","",regular,"",contextual,"È piovuto molto ieri sera."
portare,/por'tare/,"To bring, carry, or wear objects from one place to another","trasportare,recare",regular,"",contextual,"La valigia portata era molto pesante."
potere,/po'tere/,"Modal verb expressing ability, possibility, or permission","riuscire",regular,"",contextual,"Non ha potuto venire alla riunione."
pranzare,/pran'tsare/,"To have lunch; midday meal specifically","fare pranzo",regular,"",contextual,"Il pranzo pranzato era leggero."
prendere,/ˈprendere/,"To take, grab, catch, or accept something offered","afferrare,pigliare",regular,"taked→took",contextual,"La decisione presa è stata saggia."
preoccuparsi,/preokku'parsi/,"Reflexive: to worry about something or someone","angustiarsi,inquietarsi",reflexive,"",reflexive_contextual,"Si è preoccupato molto per l'esame."
pulire,/pu'lire/,"To clean surfaces, rooms, or objects thoroughly","lavare,detergere",regular,"",contextual,"La casa pulita splende."
ricordare,/rikor'dare/,"To remember past events, people, or information","rammentare,memorizzare",regular,"",contextual,"Il momento ricordato è stato bellissimo."
ridere,/'ridere/,"To laugh from joy, amusement, or humor","sorridere",regular,"",contextual,"La barzelletta detta ha fatto ridere tutti."
rispondere,/ris'pondere/,"To answer questions or reply to communications","replicare,replicare",regular,"",contextual,"La domanda non ha ricevuto risposta."
scegliere,/ʃeʎ'ʎere/,"To choose or select between options or alternatives","selezionare,optare",regular,"",contextual,"La strada scelta è stata quella giusta."
scrivere,/ˈskrivere/,"To write text, letters, books, or messages","redigere,comporre",regular,"",contextual,"La lettera scritta è molto toccante."
scusarsi,/sku'sarsi/,"Reflexive: to apologize or excuse oneself for mistakes","chiedere scusa,chiedere perdono",reflexive,"",reflexive_contextual,"Si è scusato per il ritardo."
sedersi,/se'dersi/,"Reflexive: to sit down or take a seat","accomodarsi,mettersi seduto",reflexive,"",reflexive_contextual,"Si è seduto sul divano comodo."
sentire,/sen'tire/,"Can mean both 'to hear' and 'to feel' depending on context","udire,percepire",regular,"hear/feeled→heard/felt",contextual,"La musica sentita era molto rilassante."
stare,/'stare/,"Temporary states, location, progressive tenses; vs essere for permanent","essere,rimanere",regular,"",contextual,"È stato attento durante tutta la lezione."
studiare,/stu'djare/,"To study academic subjects or learn through formal education","imparare,esaminare",regular,"",contextual,"La materia studiata è molto interessante."
suonare,/swo'nare/,"To play musical instruments or ring bells","strimpellare",regular,"",contextual,"La canzone suonata è molto famosa."
svegliarsi,/zve'ʎarsi/,"Reflexive: to wake up from sleep","destarsi,risvegliarsi",reflexive,"",reflexive_contextual,"Si è svegliato molto presto questa mattina."
telefonare,/telefo'nare/,"To make phone calls or contact by telephone","chiamare al telefono",regular,"",contextual,"La persona telefonata non ha risposto."
uscire,/u'ʃire/,"To exit, go out, or leave enclosed spaces; motion with essere","andare fuori,partire",regular,"",contextual,"È uscito di casa molto presto."
usare,/u'sare/,"To use tools, objects, or utilize something for a purpose","utilizzare,impiegare",regular,"",contextual,"Lo strumento usato è molto efficace."
vedere,/ve'dere/,"To see with eyes or watch visually; observe","guardare,osservare",regular,"seed→saw/seen",contextual,"Il film visto ieri sera era eccellente."
venire,/ve'nire/,"To come toward speaker; motion verb using essere auxiliary","arrivare,giungere",regular,"",contextual,"È venuto a trovarci ieri sera."
viaggiare,/vjad'dʒare/,"To travel for business, pleasure, or exploration","spostarsi,andare in giro",regular,"",contextual,"Il paese visitato è molto pittoresco."
visitare,/vizi'tare/,"To visit places, people, or tourist destinations","andare a trovare",regular,"",contextual,"Il museo visitato era molto interessante."
vivere,/'vivere/,"To live life or be alive; existence and lifestyle","abitare,esistere",regular,"",contextual,"La vita vissuta è stata molto intensa."
volare,/vo'lare/,"To fly through air like birds or in aircraft","planare,librarsi",regular,"",contextual,"L'aereo volato è arrivato puntuale."
volere,/vo'lere/,"Modal verb expressing desire, wish, or intention","desiderare,bramare",regular,"",contextual,"Non ha voluto accettare l'invito."
